name	chars	location
adonisjs-architecture	354	/Users/tonours/.pi/agent/skills/adonisjs-architecture/SKILL.md
adonisjs-backend	372	/Users/tonours/.pi/agent/skills/adonisjs-backend/SKILL.md
adonisjs-review	343	/Users/tonours/.pi/agent/skills/adonisjs-review/SKILL.md
adonisjs-suite	373	/Users/tonours/.pi/agent/skills/adonisjs-suite/SKILL.md
adonisjs-testing	357	/Users/tonours/.pi/agent/skills/adonisjs-testing/SKILL.md
adonisjs-tuyau	376	/Users/tonours/.pi/agent/skills/adonisjs-tuyau/SKILL.md
adversary	226	/Users/tonours/.pi/agent/skills/adversary/SKILL.md
brave-search	352	/Users/tonours/.pi/agent/skills/brave-search/SKILL.md
bug-bounty	461	/Users/tonours/.pi/agent/skills/bug-bounty/SKILL.md
bug-check	197	/Users/tonours/.pi/agent/skills/bug-check/SKILL.md
ci-fix	193	/Users/tonours/.pi/agent/skills/ci-fix/SKILL.md
code-quality	249	/Users/tonours/.pi/agent/skills/code-quality/SKILL.md
code-review	287	/Users/tonours/.pi/agent/skills/code-review/SKILL.md
code-simplifier	282	/Users/tonours/.pi/agent/skills/code-simplifier/SKILL.md
codebase-design	437	/Users/tonours/.pi/agent/skills/codebase-design/SKILL.md
coolify	554	/Users/tonours/.pi/agent/skills/coolify/SKILL.md
diagnosing-bugs	343	/Users/tonours/.pi/agent/skills/diagnosing-bugs/SKILL.md
domain-modeling	322	/Users/tonours/.pi/agent/skills/domain-modeling/SKILL.md
electron-audit	496	/Users/tonours/.pi/agent/skills/electron-audit/SKILL.md
ember-forestadmin-architecture	308	/Users/tonours/.pi/agent/skills/ember-forestadmin-architecture/SKILL.md
ember-forestadmin-components	306	/Users/tonours/.pi/agent/skills/ember-forestadmin-components/SKILL.md
ember-forestadmin-data	273	/Users/tonours/.pi/agent/skills/ember-forestadmin-data/SKILL.md
ember-forestadmin-debug	311	/Users/tonours/.pi/agent/skills/ember-forestadmin-debug/SKILL.md
ember-forestadmin-lint-style	289	/Users/tonours/.pi/agent/skills/ember-forestadmin-lint-style/SKILL.md
ember-forestadmin-migration	277	/Users/tonours/.pi/agent/skills/ember-forestadmin-migration/SKILL.md
ember-forestadmin-react-mfe	280	/Users/tonours/.pi/agent/skills/ember-forestadmin-react-mfe/SKILL.md
ember-forestadmin-routes	281	/Users/tonours/.pi/agent/skills/ember-forestadmin-routes/SKILL.md
ember-forestadmin-services-state	304	/Users/tonours/.pi/agent/skills/ember-forestadmin-services-state/SKILL.md
ember-forestadmin-suite	268	/Users/tonours/.pi/agent/skills/ember-forestadmin-suite/SKILL.md
ember-forestadmin-testing	315	/Users/tonours/.pi/agent/skills/ember-forestadmin-testing/SKILL.md
